Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1707787016.376178,5241,0,1
2,Payment,1707787016.381438,1860,0,1
1,NewOrder,1707787016.383315,5824,0,1
2,Payment,1707787016.389159,1639,0,1
2,Payment,1707787016.390815,1579,0,1
1,NewOrder,1707787016.392468,5526,0,1
1,NewOrder,1707787016.398011,4305,0,1
1,NewOrder,1707787016.402335,12744,0,1
1,NewOrder,1707787016.415102,6464,0,1
2,Payment,1707787016.421588,2018,0,1
1,NewOrder,1707787016.423624,6350,0,1
2,Payment,1707787016.429993,1673,0,1
4,Delivery,1707787016.431682,12809,0,1
1,NewOrder,1707787016.444511,6734,0,1
2,Payment,1707787016.451266,2025,0,1
2,Payment,1707787016.453308,1564,0,1
1,NewOrder,1707787016.454886,3664,0,1
1,NewOrder,1707787016.458566,4475,0,1
2,Payment,1707787016.463057,2090,0,1
2,Payment,1707787016.465165,1790,0,1
1,NewOrder,1707787016.466968,5084,0,1
2,Payment,1707787016.472071,1841,0,1
1,NewOrder,1707787016.473928,4548,0,1
1,NewOrder,1707787016.478494,5057,0,1
2,Payment,1707787016.483569,1555,0,1
3,OrderStatus,1707787016.485138,3505,0,1
1,NewOrder,1707787016.488660,7413,0,1
1,NewOrder,1707787016.496096,6781,0,1
1,NewOrder,1707787016.502897,4124,0,1
3,OrderStatus,1707787016.507042,1728,0,1
2,Payment,1707787016.508793,1690,0,1
1,NewOrder,1707787016.510528,5558,0,1
1,NewOrder,1707787016.516129,6188,0,1
1,NewOrder,1707787016.522336,5873,0,1
1,NewOrder,1707787016.528228,4072,0,1
2,Payment,1707787016.532319,2680,0,1
1,NewOrder,1707787016.535016,6138,0,1
2,Payment,1707787016.541174,1856,0,1
2,Payment,1707787016.543048,1925,0,1
1,NewOrder,1707787016.544987,4934,0,1
4,Delivery,1707787016.549939,17287,0,1
2,Payment,1707787016.567246,1738,0,1
1,NewOrder,1707787016.568997,5419,0,1
2,Payment,1707787016.574436,1856,0,1
2,Payment,1707787016.576308,3410,0,1
1,NewOrder,1707787016.579736,3804,0,1
1,NewOrder,1707787016.583559,7884,0,1
1,NewOrder,1707787016.591462,5289,0,1
2,Payment,1707787016.596782,1919,0,1
1,NewOrder,1707787016.598737,10129,0,1
1,NewOrder,1707787016.608920,6165,0,1
1,NewOrder,1707787016.615105,7121,0,1
2,Payment,1707787016.622246,1590,0,1
1,NewOrder,1707787016.623853,8388,0,1
2,Payment,1707787016.632263,1942,0,1
4,Delivery,1707787016.634222,17687,0,1
1,NewOrder,1707787016.651929,5654,0,1
2,Payment,1707787016.657606,2211,0,1
2,Payment,1707787016.659834,2139,0,1
2,Payment,1707787016.661990,2510,0,1
2,Payment,1707787016.664520,1928,0,1
1,NewOrder,1707787016.666466,7488,0,1
1,NewOrder,1707787016.673976,10125,0,1
2,Payment,1707787016.684124,2892,0,1
1,NewOrder,1707787016.687036,8468,0,1
2,Payment,1707787016.695527,2288,0,1
2,Payment,1707787016.697833,2109,0,1
1,NewOrder,1707787016.699962,5396,0,1
1,NewOrder,1707787016.705380,6891,0,1
1,NewOrder,1707787016.712293,4646,0,1
2,Payment,1707787016.716960,2217,0,1
1,NewOrder,1707787016.719196,9064,0,1
1,NewOrder,1707787016.728284,8284,0,1
1,NewOrder,1707787016.736590,6303,0,1
1,NewOrder,1707787016.742915,6597,0,1
1,NewOrder,1707787016.749534,4729,0,1
1,NewOrder,1707787016.754284,3621,0,1
1,NewOrder,1707787016.757924,5675,0,1
1,NewOrder,1707787016.763619,4871,0,1
1,NewOrder,1707787016.768511,3731,0,1
2,Payment,1707787016.772261,1278,0,1
1,NewOrder,1707787016.773553,3905,0,1
2,Payment,1707787016.777475,1508,0,1
2,Payment,1707787016.778998,1309,0,1
1,NewOrder,1707787016.780320,6092,0,1
1,NewOrder,1707787016.786429,3357,0,1
2,Payment,1707787016.789802,1495,0,1
2,Payment,1707787016.791311,1579,0,1
2,Payment,1707787016.792903,1770,0,1
1,NewOrder,1707787016.794686,4617,0,1
2,Payment,1707787016.799322,1504,0,1
1,NewOrder,1707787016.800841,3814,0,1
1,NewOrder,1707787016.804783,3988,0,1
1,NewOrder,1707787016.808788,5889,0,1
1,NewOrder,1707787016.814697,3235,0,1
2,Payment,1707787016.817946,1551,0,1
2,Payment,1707787016.819509,1523,0,1
2,Payment,1707787016.821046,1444,0,1
2,Payment,1707787016.822500,1195,0,1
2,Payment,1707787016.823705,1287,0,1
1,NewOrder,1707787016.825002,5449,0,1
1,NewOrder,1707787016.830479,4819,0,1
1,NewOrder,1707787016.835316,4686,0,1
1,NewOrder,1707787016.840020,6016,0,1
2,Payment,1707787016.846057,1548,0,1
4,Delivery,1707787016.847623,13357,0,1
5,StockLevel,1707787016.860999,2061,0,1
1,NewOrder,1707787016.863077,6458,0,1
1,NewOrder,1707787016.869557,6213,0,1
2,Payment,1707787016.875791,1654,0,1
2,Payment,1707787016.877462,1574,0,1
1,NewOrder,1707787016.879052,6694,0,1
2,Payment,1707787016.885768,1735,0,1
2,Payment,1707787016.887521,1613,0,1
1,NewOrder,1707787016.889146,6192,0,1
2,Payment,1707787016.895354,1570,0,1
1,NewOrder,1707787016.896940,5441,0,1
5,StockLevel,1707787016.902400,2115,0,1
1,NewOrder,1707787016.904532,5574,0,1
1,NewOrder,1707787016.910123,3875,0,1
1,NewOrder,1707787016.914014,5369,0,1
1,NewOrder,1707787016.919399,4341,0,1
5,StockLevel,1707787016.923756,1562,0,1
1,NewOrder,1707787016.925329,3573,0,1
2,Payment,1707787016.928975,1623,0,1
5,StockLevel,1707787016.930610,1181,0,1
1,NewOrder,1707787016.931801,6111,0,1
2,Payment,1707787016.937929,1455,0,1
3,OrderStatus,1707787016.939398,1293,0,1
2,Payment,1707787016.940703,1569,0,1
1,NewOrder,1707787016.942285,3303,0,1
1,NewOrder,1707787016.945603,5235,0,1
5,StockLevel,1707787016.950860,1805,0,1
1,NewOrder,1707787016.952681,4650,0,1
2,Payment,1707787016.957348,1720,0,1
1,NewOrder,1707787016.959083,5319,0,1
2,Payment,1707787016.964448,1540,0,1
1,NewOrder,1707787016.966002,3365,0,1
1,NewOrder,1707787016.969382,4088,0,1
1,NewOrder,1707787016.973537,5362,0,1
2,Payment,1707787016.978916,1473,0,1
1,NewOrder,1707787016.980401,4013,0,1
5,StockLevel,1707787016.984435,5069,0,1
3,OrderStatus,1707787016.989521,1074,0,1
4,Delivery,1707787016.990608,12013,0,1
1,NewOrder,1707787017.002691,3599,0,1
1,NewOrder,1707787017.006304,5252,0,1
2,Payment,1707787017.011566,1264,0,1
2,Payment,1707787017.012840,1401,0,1
2,Payment,1707787017.014250,1485,0,1
2,Payment,1707787017.015744,1049,0,1
2,Payment,1707787017.016804,1272,0,1
2,Payment,1707787017.018085,1194,0,1
1,NewOrder,1707787017.019288,3561,0,1
2,Payment,1707787017.022863,1477,0,1
1,NewOrder,1707787017.024350,3724,0,1
2,Payment,1707787017.028085,1429,0,1
1,NewOrder,1707787017.029527,3812,0,1
2,Payment,1707787017.033354,1402,0,1
1,NewOrder,1707787017.034768,6408,0,1
1,NewOrder,1707787017.041194,5869,0,1
5,StockLevel,1707787017.047078,1884,0,1
1,NewOrder,1707787017.048973,10636,0,1
3,OrderStatus,1707787017.059627,835,0,1
2,Payment,1707787017.060472,1635,0,1
1,NewOrder,1707787017.062119,6936,0,1
2,Payment,1707787017.069068,2065,0,1
2,Payment,1707787017.071146,1580,0,1
1,NewOrder,1707787017.072737,8391,0,1
2,Payment,1707787017.081147,1382,0,1
4,Delivery,1707787017.082544,11056,0,1
1,NewOrder,1707787017.093621,5291,0,1
1,NewOrder,1707787017.098932,3753,0,1
5,StockLevel,1707787017.102703,1254,0,1
5,StockLevel,1707787017.104031,2015,0,1
5,StockLevel,1707787017.106101,1113,0,1
3,OrderStatus,1707787017.107226,520,0,1
4,Delivery,1707787017.107762,6903,0,1
1,NewOrder,1707787017.114833,3278,0,1
5,StockLevel,1707787017.118156,1235,0,1
2,Payment,1707787017.119400,955,0,1
2,Payment,1707787017.120363,982,0,1
4,Delivery,1707787017.121352,6594,0,1
1,NewOrder,1707787017.127958,3800,0,1
1,NewOrder,1707787017.131769,3257,0,1
2,Payment,1707787017.135035,964,0,1
2,Payment,1707787017.136007,916,0,1
2,Payment,1707787017.136931,1076,0,1
1,NewOrder,1707787017.138015,1953,0,1
2,Payment,1707787017.139977,977,0,1
1,NewOrder,1707787017.140971,2322,0,1
5,StockLevel,1707787017.143302,1066,0,1
2,Payment,1707787017.144375,865,0,1
2,Payment,1707787017.145292,858,0,1
5,StockLevel,1707787017.146158,1260,0,1
2,Payment,1707787017.147426,847,0,1
1,NewOrder,1707787017.148279,2040,0,1
2,Payment,1707787017.150327,907,0,1
1,NewOrder,1707787017.151242,3183,0,1
2,Payment,1707787017.154435,941,0,1
2,Payment,1707787017.155427,968,0,1
2,Payment,1707787017.156404,961,0,1
1,NewOrder,1707787017.157373,3066,0,1
2,Payment,1707787017.160463,1021,0,1
5,StockLevel,1707787017.161492,1038,0,1
2,Payment,1707787017.162538,875,0,1
2,Payment,1707787017.163420,960,0,1
1,NewOrder,1707787017.164388,2956,0,1
2,Payment,1707787017.167353,922,0,1
2,Payment,1707787017.168283,899,0,1
1,NewOrder,1707787017.169190,3201,0,1
4,Delivery,1707787017.172401,7252,0,1
