Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1710878520.130073,1966,0,1
2,Payment,1710878520.132093,4160,0,1
1,NewOrder,1710878520.136305,6756,0,1
3,OrderStatus,1710878520.143081,1361,0,1
1,NewOrder,1710878520.144458,5433,0,1
2,Payment,1710878520.149911,1495,0,1
2,Payment,1710878520.151420,1508,0,1
4,Delivery,1710878520.152945,12051,0,1
2,Payment,1710878520.165017,1526,0,1
2,Payment,1710878520.166560,1557,0,1
1,NewOrder,1710878520.168131,4933,0,1
2,Payment,1710878520.173085,1476,0,1
2,Payment,1710878520.174576,1472,0,1
2,Payment,1710878520.176061,1394,0,1
2,Payment,1710878520.177466,1349,0,1
5,StockLevel,1710878520.178829,1397,0,1
2,Payment,1710878520.180242,1712,0,1
1,NewOrder,1710878520.181974,5074,0,1
1,NewOrder,1710878520.187070,4873,0,1
3,OrderStatus,1710878520.191965,1198,0,1
2,Payment,1710878520.193176,1470,0,1
2,Payment,1710878520.194658,1411,0,1
2,Payment,1710878520.196083,1516,0,1
4,Delivery,1710878520.197614,12862,0,1
2,Payment,1710878520.210497,1764,0,1
2,Payment,1710878520.212276,1524,0,1
1,NewOrder,1710878520.213812,5451,0,1
5,StockLevel,1710878520.219283,1335,0,1
1,NewOrder,1710878520.220634,4311,0,1
2,Payment,1710878520.224966,2073,0,1
2,Payment,1710878520.227057,1700,0,1
2,Payment,1710878520.228775,1574,0,1
4,Delivery,1710878520.230362,13563,0,1
2,Payment,1710878520.243948,1546,0,1
2,Payment,1710878520.245508,1589,0,1
2,Payment,1710878520.247110,2146,0,1
2,Payment,1710878520.249270,1511,0,1
2,Payment,1710878520.250792,1691,0,1
2,Payment,1710878520.252495,1590,0,1
2,Payment,1710878520.254097,1566,0,1
2,Payment,1710878520.255676,2162,0,1
2,Payment,1710878520.257852,1601,0,1
2,Payment,1710878520.259467,1614,0,1
2,Payment,1710878520.261096,1600,0,1
5,StockLevel,1710878520.262710,1546,0,1
2,Payment,1710878520.264272,2424,0,1
2,Payment,1710878520.266714,1734,0,1
1,NewOrder,1710878520.268464,5059,0,1
1,NewOrder,1710878520.273543,4644,0,1
2,Payment,1710878520.278209,1800,0,1
1,NewOrder,1710878520.280024,5183,0,1
2,Payment,1710878520.285229,1748,0,1
2,Payment,1710878520.286993,1982,0,1
1,NewOrder,1710878520.288994,5172,0,1
2,Payment,1710878520.294189,1764,0,1
1,NewOrder,1710878520.295968,3462,0,1
2,Payment,1710878520.299445,1704,0,1
2,Payment,1710878520.301166,1745,0,1
5,StockLevel,1710878520.302928,2285,0,1
1,NewOrder,1710878520.305233,5679,0,1
2,Payment,1710878520.310932,1859,0,1
2,Payment,1710878520.312807,1865,0,1
1,NewOrder,1710878520.314686,4905,0,1
2,Payment,1710878520.319612,3536,0,1
1,NewOrder,1710878520.323169,5939,0,1
1,NewOrder,1710878520.329127,7486,0,1
2,Payment,1710878520.336635,3019,0,1
1,NewOrder,1710878520.339671,9367,0,1
2,Payment,1710878520.349060,1820,0,1
1,NewOrder,1710878520.350894,4758,0,1
1,NewOrder,1710878520.355674,6204,0,1
1,NewOrder,1710878520.361902,8447,0,1
2,Payment,1710878520.370371,2024,0,1
4,Delivery,1710878520.372411,15461,0,1
2,Payment,1710878520.387894,1696,0,1
1,NewOrder,1710878520.389607,8409,0,1
1,NewOrder,1710878520.398037,4580,0,1
1,NewOrder,1710878520.402637,5988,0,1
1,NewOrder,1710878520.408644,7001,0,1
1,NewOrder,1710878520.415666,9714,0,1
3,OrderStatus,1710878520.425404,1096,0,1
2,Payment,1710878520.426512,1855,0,1
3,OrderStatus,1710878520.428389,1766,0,1
1,NewOrder,1710878520.430173,5848,0,1
1,NewOrder,1710878520.436044,8581,0,1
1,NewOrder,1710878520.444648,5355,0,1
1,NewOrder,1710878520.450022,5368,0,1
1,NewOrder,1710878520.455412,4132,0,1
2,Payment,1710878520.459563,1620,0,1
2,Payment,1710878520.461194,1786,0,1
1,NewOrder,1710878520.462991,6448,0,1
2,Payment,1710878520.469461,1820,0,1
1,NewOrder,1710878520.471293,5568,0,1
2,Payment,1710878520.476879,1912,0,1
2,Payment,1710878520.478808,1571,0,1
1,NewOrder,1710878520.480392,6604,0,1
2,Payment,1710878520.487017,2036,0,1
2,Payment,1710878520.489069,2084,0,1
2,Payment,1710878520.491168,1814,0,1
2,Payment,1710878520.492997,2191,0,1
1,NewOrder,1710878520.495204,6873,0,1
3,OrderStatus,1710878520.502099,1175,0,1
2,Payment,1710878520.503286,1708,0,1
2,Payment,1710878520.505008,1789,0,1
1,NewOrder,1710878520.506810,6219,0,1
2,Payment,1710878520.513048,1915,0,1
2,Payment,1710878520.514977,1805,0,1
2,Payment,1710878520.516798,1807,0,1
2,Payment,1710878520.518622,2061,0,1
2,Payment,1710878520.520701,3926,0,1
1,NewOrder,1710878520.524646,7639,0,1
1,NewOrder,1710878520.532309,7998,0,1
2,Payment,1710878520.540330,1876,0,1
2,Payment,1710878520.542222,1986,0,1
1,NewOrder,1710878520.544225,5584,0,1
2,Payment,1710878520.549830,2623,0,1
2,Payment,1710878520.552472,1936,0,1
2,Payment,1710878520.554426,2081,0,1
2,Payment,1710878520.556524,1871,0,1
2,Payment,1710878520.558410,1788,0,1
2,Payment,1710878520.560212,1794,0,1
1,NewOrder,1710878520.562019,5234,0,1
2,Payment,1710878520.567276,1748,0,1
2,Payment,1710878520.569042,1766,0,1
2,Payment,1710878520.570824,1883,0,1
1,NewOrder,1710878520.572723,6949,0,1
2,Payment,1710878520.579697,1964,0,1
3,OrderStatus,1710878520.581678,1957,0,1
1,NewOrder,1710878520.583654,4074,0,1
2,Payment,1710878520.587783,1751,0,1
2,Payment,1710878520.589629,1578,0,1
2,Payment,1710878520.591290,1618,0,1
3,OrderStatus,1710878520.592917,1043,0,1
2,Payment,1710878520.593968,1511,0,1
5,StockLevel,1710878520.595487,1704,0,1
1,NewOrder,1710878520.597203,5988,0,1
1,NewOrder,1710878520.603206,4977,0,1
1,NewOrder,1710878520.608199,3436,0,1
1,NewOrder,1710878520.611646,3939,0,1
2,Payment,1710878520.615598,1575,0,1
1,NewOrder,1710878520.617185,4713,0,1
4,Delivery,1710878520.621911,12583,0,1
1,NewOrder,1710878520.634508,3843,0,1
2,Payment,1710878520.638364,962,0,1
1,NewOrder,1710878520.639335,3028,0,1
5,StockLevel,1710878520.642373,1059,0,1
1,NewOrder,1710878520.643440,3686,0,1
1,NewOrder,1710878520.647136,2761,0,1
5,StockLevel,1710878520.649907,1228,0,1
2,Payment,1710878520.651143,1094,0,1
2,Payment,1710878520.652246,870,0,1
